Time,Parameter 1,Parameter 2,Parameter 3
2025-06-17 23:45:00,36.93,61.39,6.86
2025-06-18 00:00:00,36.82,58.43,6.87
2025-06-18 00:15:00,36.95,62.15,6.87
2025-06-18 00:30:00,36.94,63.31,6.89
2025-06-18 00:45:00,37.06,59.93,6.89
2025-06-18 01:00:00,37.10,59.67,6.89
2025-06-18 01:15:00,37.09,63.94,6.89
2025-06-18 01:30:00,37.01,61.75,6.89
2025-06-18 01:45:00,37.02,58.43,6.89
2025-06-18 02:00:00,36.98,59.99,6.89
2025-06-18 02:15:00,37.02,63.96,6.89
2025-06-18 02:30:00,37.01,62.41,6.89
2025-06-18 02:45:00,36.94,58.46,6.89
2025-06-18 03:00:00,37.00,61.04,6.89
2025-06-18 03:15:00,37.00,64.09,6.89
2025-06-18 03:30:00,37.01,61.80,6.89
2025-06-18 03:45:00,36.95,58.67,6.89
2025-06-18 04:00:00,37.04,59.18,6.88
2025-06-18 04:15:00,37.06,63.46,6.88
2025-06-18 04:30:00,37.02,63.10,6.88
2025-06-18 04:45:00,37.10,58.60,6.88
2025-06-18 05:00:00,37.03,60.97,6.88
2025-06-18 05:15:00,36.94,64.03,6.88
2025-06-18 05:30:00,37.00,62.11,6.88
2025-06-18 05:45:00,36.95,59.08,6.88
2025-06-18 06:00:00,37.04,58.25,6.88
2025-06-18 06:15:00,36.98,60.72,6.88
2025-06-18 06:30:00,36.95,63.92,6.88
2025-06-18 06:45:00,36.97,63.42,6.88
2025-06-18 07:00:00,36.99,60.91,6.88
2025-06-18 07:15:00,36.97,58.97,6.88
2025-06-18 07:30:00,37.06,58.11,6.88
2025-06-18 07:45:00,37.01,59.91,6.88
2025-06-18 08:00:00,36.94,62.97,6.88
2025-06-18 08:15:00,36.99,63.84,6.88
2025-06-18 08:30:00,37.04,53.23,6.88
2025-06-18 08:45:00,37.00,58.71,6.88
2025-06-18 09:00:00,36.99,58.35,6.88
2025-06-18 09:15:00,36.96,59.24,6.88
2025-06-18 09:30:00,37.02,62.29,6.88
2025-06-18 09:45:00,36.92,63.63,6.88
2025-06-18 10:00:00,36.99,63.10,6.88
2025-06-18 10:15:00,37.07,60.24,6.88
2025-06-18 10:30:00,37.04,58.22,6.88
2025-06-18 10:45:00,36.97,57.90,6.88
2025-06-18 11:00:00,37.08,61.07,6.88
2025-06-18 11:15:00,37.00,63.35,6.88
2025-06-18 11:30:00,36.96,63.51,6.88
2025-06-18 11:45:00,37.02,62.05,6.88
2025-06-18 12:00:00,37.00,59.82,6.88
2025-06-18 12:15:00,37.04,57.78,6.88
2025-06-18 12:30:00,37.00,58.60,6.88
2025-06-18 12:45:00,37.05,61.62,6.88
2025-06-18 13:00:00,37.01,63.59,6.88
2025-06-18 13:15:00,37.02,63.46,6.88
2025-06-18 13:30:00,37.04,60.77,6.88
2025-06-18 13:45:00,36.95,59.65,6.87
2025-06-18 14:00:00,37.02,58.33,6.87
2025-06-18 14:15:00,37.00,58.02,6.87
2025-06-18 14:30:00,37.05,59.20,6.87
2025-06-18 14:45:00,37.09,61.76,6.87
2025-06-18 15:00:00,36.97,63.49,6.87
2025-06-18 15:15:00,36.92,63.35,6.87
2025-06-18 15:30:00,37.06,62.31,6.87
2025-06-18 15:45:00,37.01,60.86,6.87
2025-06-18 16:00:00,37.04,59.10,6.87
2025-06-18 16:15:00,36.98,57.75,6.87
2025-06-18 16:30:00,37.02,60.98,6.87
2025-06-18 16:45:00,36.96,63.59,6.87
2025-06-18 17:00:00,36.92,62.54,6.87
2025-06-18 17:15:00,37.00,60.95,6.88
2025-06-18 17:30:00,37.09,59.51,6.88
2025-06-18 17:45:00,36.99,58.32,6.88
2025-06-18 18:00:00,37.03,60.04,6.88
2025-06-18 18:15:00,37.05,63.38,6.88
2025-06-18 18:30:00,36.93,61.46,6.88
2025-06-18 18:45:00,36.94,57.92,6.88
2025-06-18 19:00:00,36.97,58.44,6.88
