"","A201-BCP001-BIO0001-TT00026.BIO-BIO-TEM-CTR","A201-BCP001-BIO0001-AIT0024.BIO-DOX-DOX-CTR","A201-BCP001-BIO0001-AIT0022.BIO-PH1-PHZ-CTR",""
"Time","Value | First","Value | First","Value | First",""
"6/17/2025 11:45:00 PM","36.93","61.39","6.86",""
"6/18/2025 12:00:00 AM","36.82","58.43","6.87",""
"6/18/2025 12:15:00 AM","36.95","62.15","6.87",""
"6/18/2025 12:30:00 AM","36.94","63.31","6.89",""
"6/18/2025 12:45:00 AM","37.06","59.93","6.89",""
"6/18/2025 1:00:00 AM","37.10","59.67","6.89",""
"6/18/2025 1:15:00 AM","37.09","63.94","6.89",""
"6/18/2025 1:30:00 AM","37.01","61.75","6.89",""
"6/18/2025 1:45:00 AM","37.02","58.43","6.89",""
"6/18/2025 2:00:00 AM","36.98","59.99","6.89",""
"6/18/2025 2:15:00 AM","37.02","63.96","6.89",""
"6/18/2025 2:30:00 AM","37.01","62.41","6.89",""
"6/18/2025 2:45:00 AM","36.94","58.46","6.89",""
"6/18/2025 3:00:00 AM","37.00","61.04","6.89",""
"6/18/2025 3:15:00 AM","37.00","64.09","6.89",""
"6/18/2025 3:30:00 AM","37.01","61.80","6.89",""
"6/18/2025 3:45:00 AM","36.95","58.67","6.89",""
"6/18/2025 4:00:00 AM","37.04","59.18","6.88",""
"6/18/2025 4:15:00 AM","37.06","63.46","6.88",""
"6/18/2025 4:30:00 AM","37.02","63.10","6.88",""
"6/18/2025 4:45:00 AM","37.10","58.60","6.88",""
"6/18/2025 5:00:00 AM","37.03","60.97","6.88",""
"6/18/2025 5:15:00 AM","36.94","64.03","6.88",""
"6/18/2025 5:30:00 AM","37.00","62.11","6.88",""
"6/18/2025 5:45:00 AM","36.95","59.08","6.88",""
"6/18/2025 6:00:00 AM","37.04","58.25","6.88",""
"6/18/2025 6:15:00 AM","36.98","60.72","6.88",""
"6/18/2025 6:30:00 AM","36.95","63.92","6.88",""
"6/18/2025 6:45:00 AM","36.97","63.42","6.88",""
"6/18/2025 7:00:00 AM","36.99","60.91","6.88",""
"6/18/2025 7:15:00 AM","36.97","58.97","6.88",""
"6/18/2025 7:30:00 AM","37.06","58.11","6.88",""
"6/18/2025 7:45:00 AM","37.01","59.91","6.88",""
"6/18/2025 8:00:00 AM","36.94","62.97","6.88",""
"6/18/2025 8:15:00 AM","36.99","63.84","6.88",""
"6/18/2025 8:30:00 AM","37.04","53.23","6.88",""
"6/18/2025 8:45:00 AM","37.00","58.71","6.88",""
"6/18/2025 9:00:00 AM","36.99","58.35","6.88",""
"6/18/2025 9:15:00 AM","36.96","59.24","6.88",""
"6/18/2025 9:30:00 AM","37.02","62.29","6.88",""
"6/18/2025 9:45:00 AM","36.92","63.63","6.88",""
"6/18/2025 10:00:00 AM","36.99","63.10","6.88",""
"6/18/2025 10:15:00 AM","37.07","60.24","6.88",""
"6/18/2025 10:30:00 AM","37.04","58.22","6.88",""
"6/18/2025 10:45:00 AM","36.97","57.90","6.88",""
"6/18/2025 11:00:00 AM","37.08","61.07","6.88",""
"6/18/2025 11:15:00 AM","37.00","63.35","6.88",""
"6/18/2025 11:30:00 AM","36.96","63.51","6.88",""
"6/18/2025 11:45:00 AM","37.02","62.05","6.88",""
"6/18/2025 12:00:00 PM","37.00","59.82","6.88",""
"6/18/2025 12:15:00 PM","37.04","57.78","6.88",""
"6/18/2025 12:30:00 PM","37.00","58.60","6.88",""
"6/18/2025 12:45:00 PM","37.05","61.62","6.88",""
"6/18/2025 1:00:00 PM","37.01","63.59","6.88",""
"6/18/2025 1:15:00 PM","37.02","63.46","6.88",""
"6/18/2025 1:30:00 PM","37.04","60.77","6.88",""
"6/18/2025 1:45:00 PM","36.95","59.65","6.87",""
"6/18/2025 2:00:00 PM","37.02","58.33","6.87",""
"6/18/2025 2:15:00 PM","37.00","58.02","6.87",""
"6/18/2025 2:30:00 PM","37.05","59.20","6.87",""
"6/18/2025 2:45:00 PM","37.09","61.76","6.87",""
"6/18/2025 3:00:00 PM","36.97","63.49","6.87",""
"6/18/2025 3:15:00 PM","36.92","63.35","6.87",""
"6/18/2025 3:30:00 PM","37.06","62.31","6.87",""
"6/18/2025 3:45:00 PM","37.01","60.86","6.87",""
"6/18/2025 4:00:00 PM","37.04","59.10","6.87",""
"6/18/2025 4:15:00 PM","36.98","57.75","6.87",""
"6/18/2025 4:30:00 PM","37.02","60.98","6.87",""
"6/18/2025 4:45:00 PM","36.96","63.59","6.87",""
"6/18/2025 5:00:00 PM","36.92","62.54","6.87",""
"6/18/2025 5:15:00 PM","37.00","60.95","6.88",""
"6/18/2025 5:30:00 PM","37.09","59.51","6.88",""
"6/18/2025 5:45:00 PM","36.99","58.32","6.88",""
"6/18/2025 6:00:00 PM","37.03","60.04","6.88",""
"6/18/2025 6:15:00 PM","37.05","63.38","6.88",""
"6/18/2025 6:30:00 PM","36.93","61.46","6.88",""
"6/18/2025 6:45:00 PM","36.94","57.92","6.88",""
"6/18/2025 7:00:00 PM","36.97","58.44","6.88",""
"6/18/2025 7:15:00 PM","36.94","62.88","6.88",""
"6/18/2025 7:30:00 PM","37.00","61.85","6.88",""
"6/18/2025 7:45:00 PM","36.95","57.62","6.88",""
"6/18/2025 8:00:00 PM","36.95","60.56","6.88",""
"6/18/2025 8:15:00 PM","36.99","63.17","6.88",""
"6/18/2025 8:30:00 PM","36.99","59.31","6.88",""
"6/18/2025 8:45:00 PM","37.09","59.97","6.88",""
"6/18/2025 9:00:00 PM","36.98","62.29","6.88",""
"6/18/2025 9:15:00 PM","36.97","62.04","6.88",""
"6/18/2025 9:30:00 PM","36.98","57.04","6.88",""
"6/18/2025 9:45:00 PM","36.96","63.26","6.88",""
"6/18/2025 10:00:00 PM","36.99","56.93","6.88",""
"6/18/2025 10:15:00 PM","37.03","62.40","6.88",""
"6/18/2025 10:30:00 PM","37.02","61.37","6.88",""
"6/18/2025 10:45:00 PM","37.03","57.94","6.88",""
"6/18/2025 11:00:00 PM","36.99","62.62","6.88",""
"6/18/2025 11:15:00 PM","37.01","57.18","6.88",""
"6/18/2025 11:30:00 PM","36.94","63.16","6.88",""
"6/18/2025 11:45:00 PM","36.94","57.03","6.88",""
"6/19/2025 12:00:00 AM","36.93","61.81","6.88",""
"6/19/2025 12:15:00 AM","37.01","57.35","6.88",""
"6/19/2025 12:30:00 AM","37.00","59.70","6.88",""
"6/19/2025 12:45:00 AM","37.04","62.60","6.88",""
"6/19/2025 1:00:00 AM","37.03","56.51","6.88",""
"6/19/2025 1:15:00 AM","36.98","56.85","6.88",""
"6/19/2025 1:30:00 AM","36.97","57.67","6.88",""
"6/19/2025 1:45:00 AM","37.00","60.25","6.88",""
"6/19/2025 2:00:00 AM","37.01","61.68","6.88",""
"6/19/2025 2:15:00 AM","36.92","62.53","6.88",""
"6/19/2025 2:30:00 AM","36.99","61.89","6.88",""
"6/19/2025 2:45:00 AM","37.04","63.01","6.88",""
"6/19/2025 3:00:00 AM","36.96","62.33","6.88",""
"6/19/2025 3:15:00 AM","36.95","60.05","6.88",""
"6/19/2025 3:30:00 AM","37.03","57.61","6.88",""
"6/19/2025 3:45:00 AM","36.97","56.75","6.88",""
"6/19/2025 4:00:00 AM","37.04","58.88","6.89",""
"6/19/2025 4:15:00 AM","36.94","58.79","6.89",""
"6/19/2025 4:30:00 AM","37.02","60.56","6.89",""
"6/19/2025 4:45:00 AM","37.05","61.43","6.89",""
"6/19/2025 5:00:00 AM","37.03","61.06","6.89",""
